id,nr_isos,tool,total_errors
6_6,6,isONform,1
2_15,2,isONform,0
9_13, 9, RATTLE, 157
7_5, 7, RATTLE, 68
15_5,15,isONform,42
4_18, 4, RATTLE, 148
3_19,3,isONform,1
5_3, 5, RATTLE, 11
14_8, 14, RATTLE, 189
4_2,4,isONform,6
6_6, 6, RATTLE, 4
7_7, 7, RATTLE, 19
6_18, 6, RATTLE, 12
11_13, 11, RATTLE, 161
13_17,13,isONform,45
15_6,15,isONform,18
3_10,3,isONform,6
13_6,13,isONform,70
6_12,6,isONform,6
15_7, 15, RATTLE, 132
14_6, 14, RATTLE, 238
9_6, 9, RATTLE, 44
11_9,11,isONform,30
3_5,3,isONform,14
8_6,8,isONform,20
2_6,2,isONform,12
10_13,10,isONform,26
9_9,9,isONform,65
15_19, 15, RATTLE, 74
11_10, 11, RATTLE, 28
15_12, 15, RATTLE, 26
3_11, 3, RATTLE, 25
13_14, 13, RATTLE, 22
6_1, 6, RATTLE, 48
12_11, 12, RATTLE, 159
12_16, 12, RATTLE, 68
3_7,3,isONform,11
15_15, 15, RATTLE, 123
10_7,10,isONform,6
15_11,15,isONform,11
10_11,10,isONform,18
6_7, 6, RATTLE, 12
13_4, 13, RATTLE, 129
2_15, 2, RATTLE, 3
7_11,7,isONform,8
8_16, 8, RATTLE, 58
6_13, 6, RATTLE, 32
12_18,12,isONform,12
4_1, 4, RATTLE, 6
11_3,11,isONform,7
15_20, 15, RATTLE, 115
2_11, 2, RATTLE, 0
8_12,8,isONform,15
2_3,2,isONform,5
3_14,3,isONform,5
9_1, 9, RATTLE, 42
8_15,8,isONform,37
2_9,2,isONform,1
13_7, 13, RATTLE, 87
15_2, 15, RATTLE, 116
7_4, 7, RATTLE, 20
4_13,4,isONform,4
9_4,9,isONform,14
10_11, 10, RATTLE, 211
14_4, 14, RATTLE, 51
3_14, 3, RATTLE, 6
7_18, 7, RATTLE, 9
5_7, 5, RATTLE, 17
9_1,9,isONform,21
2_2,2,isONform,0
6_8,6,isONform,9
14_7,14,isONform,15
11_8, 11, RATTLE, 85
5_4,5,isONform,10
14_14,14,isONform,41
8_5,8,isONform,67
5_2, 5, RATTLE, 8
14_13, 14, RATTLE, 92
2_12,2,isONform,2
13_10, 13, RATTLE, 98
9_15,9,isONform,6
6_1,6,isONform,10
13_9, 13, RATTLE, 23
8_11,8,isONform,3
4_11,4,isONform,0
8_5, 8, RATTLE, 30
9_16,9,isONform,41
9_8, 9, RATTLE, 199
3_1, 3, RATTLE, 7
10_20, 10, RATTLE, 78
5_7,5,isONform,0
3_11,3,isONform,8
14_12,14,isONform,25
2_7,2,isONform,3
15_16,15,isONform,31
14_2, 14, RATTLE, 131
6_7,6,isONform,7
7_4,7,isONform,11
14_15, 14, RATTLE, 154
5_19, 5, RATTLE, 2
4_1,4,isONform,3
3_2,3,isONform,2
13_18, 13, RATTLE, 125
6_4,6,isONform,21
3_10, 3, RATTLE, 119
7_13,7,isONform,6
2_13,2,isONform,1
12_15, 12, RATTLE, 83
8_20, 8, RATTLE, 102
10_4, 10, RATTLE, 23
14_19,14,isONform,35
12_9, 12, RATTLE, 28
8_1,8,isONform,9
8_14, 8, RATTLE, 72
9_19,9,isONform,6
8_13, 8, RATTLE, 69
5_9,5,isONform,7
6_19,6,isONform,11
7_16, 7, RATTLE, 10
13_5, 13, RATTLE, 21
15_18, 15, RATTLE, 165
11_17,11,isONform,8
11_1, 11, RATTLE, 286
2_14, 2, RATTLE, 6
13_13, 13, RATTLE, 87
13_1,13,isONform,8
7_6,7,isONform,4
15_3, 15, RATTLE, 61
10_17,10,isONform,31
11_14,11,isONform,24
3_18, 3, RATTLE, 69
2_5,2,isONform,11
9_3,9,isONform,4
15_18,15,isONform,17
7_6, 7, RATTLE, 15
15_10, 15, RATTLE, 39
14_20, 14, RATTLE, 106
12_4,12,isONform,21
10_20,10,isONform,17
13_3,13,isONform,39
11_20,11,isONform,9
10_1,10,isONform,16
8_18,8,isONform,7
9_18, 9, RATTLE, 128
15_15,15,isONform,26
11_4,11,isONform,12
6_9, 6, RATTLE, 16
8_3, 8, RATTLE, 56
11_16, 11, RATTLE, 92
2_4, 2, RATTLE, 6
13_12, 13, RATTLE, 119
3_17,3,isONform,2
6_2, 6, RATTLE, 107
4_6, 4, RATTLE, 6
13_15, 13, RATTLE, 116
7_1,7,isONform,9
12_3,12,isONform,27
10_3, 10, RATTLE, 80
5_5, 5, RATTLE, 5
4_4,4,isONform,1
4_20, 4, RATTLE, 5
7_8,7,isONform,8
14_3, 14, RATTLE, 86
8_9, 8, RATTLE, 10
3_3, 3, RATTLE, 7
8_10,8,isONform,10
7_12, 7, RATTLE, 10
8_2,8,isONform,35
10_8, 10, RATTLE, 123
12_11,12,isONform,6
2_9, 2, RATTLE, 6
12_6,12,isONform,63
13_2, 13, RATTLE, 111
7_13, 7, RATTLE, 12
7_17,7,isONform,8
10_8,10,isONform,9
5_10, 5, RATTLE, 8
7_15,7,isONform,22
5_6,5,isONform,3
4_2, 4, RATTLE, 7
4_16,4,isONform,3
8_19, 8, RATTLE, 18
3_9,3,isONform,5
11_19, 11, RATTLE, 112
14_10, 14, RATTLE, 180
8_7,8,isONform,9
2_20,2,isONform,3
2_10, 2, RATTLE, 2
4_14,4,isONform,10
5_13,5,isONform,3
9_10,9,isONform,78
6_14,6,isONform,4
10_14, 10, RATTLE, 165
5_1, 5, RATTLE, 5
8_8, 8, RATTLE, 79
6_5,6,isONform,3
10_9, 10, RATTLE, 137
7_20,7,isONform,10
6_10,6,isONform,8
2_19, 2, RATTLE, 3
5_17,5,isONform,4
10_19,10,isONform,8
12_2,12,isONform,21
6_5, 6, RATTLE, 25
12_16,12,isONform,13
8_17, 8, RATTLE, 89
13_8, 13, RATTLE, 20
6_4, 6, RATTLE, 9
13_2,13,isONform,11
14_7, 14, RATTLE, 67
6_3,6,isONform,3
3_2, 3, RATTLE, 6
6_20,6,isONform,3
11_8,11,isONform,17
7_5,7,isONform,20
15_10,15,isONform,37
7_19, 7, RATTLE, 14
3_8,3,isONform,11
4_16, 4, RATTLE, 5
5_8, 5, RATTLE, 15
10_1, 10, RATTLE, 32
5_18, 5, RATTLE, 43
11_2,11,isONform,30
6_13,6,isONform,8
14_5, 14, RATTLE, 108
14_13,14,isONform,26
2_20, 2, RATTLE, 4
11_10,11,isONform,16
13_10,13,isONform,15
14_3,14,isONform,29
8_8,8,isONform,15
2_19,2,isONform,0
12_13,12,isONform,45
9_10, 9, RATTLE, 80
13_3, 13, RATTLE, 32
6_16,6,isONform,13
13_7,13,isONform,13
9_2,9,isONform,7
11_11, 11, RATTLE, 30
5_12, 5, RATTLE, 41
12_4, 12, RATTLE, 106
9_13,9,isONform,9
15_9,15,isONform,58
2_12, 2, RATTLE, 3
10_5, 10, RATTLE, 70
12_14,12,isONform,16
13_16, 13, RATTLE, 84
12_9,12,isONform,20
15_17,15,isONform,46
15_11, 15, RATTLE, 85
5_6, 5, RATTLE, 5
4_7,4,isONform,20
6_3, 6, RATTLE, 12
7_10,7,isONform,47
2_4,2,isONform,32
9_17, 9, RATTLE, 22
4_3,4,isONform,5
8_1, 8, RATTLE, 72
4_17, 4, RATTLE, 63
7_11, 7, RATTLE, 58
12_12, 12, RATTLE, 170
4_20,4,isONform,2
11_5, 11, RATTLE, 83
10_2, 10, RATTLE, 70
15_17, 15, RATTLE, 115
9_7, 9, RATTLE, 79
2_10,2,isONform,3
8_10, 8, RATTLE, 13
10_17, 10, RATTLE, 124
9_11, 9, RATTLE, 102
12_18, 12, RATTLE, 89
11_4, 11, RATTLE, 58
4_3, 4, RATTLE, 72
10_12,10,isONform,6
8_11, 8, RATTLE, 187
15_3,15,isONform,43
12_5,12,isONform,15
2_3, 2, RATTLE, 4
6_12, 6, RATTLE, 95
7_9,7,isONform,14
12_6, 12, RATTLE, 78
7_17, 7, RATTLE, 58
6_18,6,isONform,14
3_6, 3, RATTLE, 6
3_12,3,isONform,4
14_14, 14, RATTLE, 279
13_15,13,isONform,7
11_12,11,isONform,113
8_4,8,isONform,15
13_20, 13, RATTLE, 158
2_16, 2, RATTLE, 192
11_6, 11, RATTLE, 59
8_9,8,isONform,5
5_17, 5, RATTLE, 13
13_4,13,isONform,14
14_17,14,isONform,13
12_20,12,isONform,18
2_17,2,isONform,9
14_9,14,isONform,22
9_6,9,isONform,17
4_4, 4, RATTLE, 7
5_13, 5, RATTLE, 23
2_11,2,isONform,12
4_12, 4, RATTLE, 7
10_6,10,isONform,14
3_20,3,isONform,30
5_9, 5, RATTLE, 4
9_2, 9, RATTLE, 84
9_4, 9, RATTLE, 20
10_18, 10, RATTLE, 14
13_1, 13, RATTLE, 113
13_12,13,isONform,8
4_13, 4, RATTLE, 11
14_17, 14, RATTLE, 341
13_14,13,isONform,43
5_15, 5, RATTLE, 36
4_9, 4, RATTLE, 1
7_16,7,isONform,12
5_4, 5, RATTLE, 14
9_18,9,isONform,15
12_1, 12, RATTLE, 163
10_4,10,isONform,75
5_20,5,isONform,12
8_12, 8, RATTLE, 46
7_14, 7, RATTLE, 72
4_10, 4, RATTLE, 85
11_15,11,isONform,41
7_2,7,isONform,4
15_12,15,isONform,37
15_1, 15, RATTLE, 236
11_12, 11, RATTLE, 208
11_1,11,isONform,30
5_1,5,isONform,5
3_7, 3, RATTLE, 67
5_11, 5, RATTLE, 34
11_7,11,isONform,6
11_14, 11, RATTLE, 206
13_11, 13, RATTLE, 16
9_5,9,isONform,8
10_5,10,isONform,10
14_19, 14, RATTLE, 303
12_1,12,isONform,15
7_1, 7, RATTLE, 70
3_6,3,isONform,7
11_16,11,isONform,9
14_1, 14, RATTLE, 84
8_19,8,isONform,7
4_15,4,isONform,6
11_6,11,isONform,12
2_5, 2, RATTLE, 1
15_1,15,isONform,23
10_13, 10, RATTLE, 205
8_15, 8, RATTLE, 11
13_6, 13, RATTLE, 71
8_3,8,isONform,18
7_15, 7, RATTLE, 100
3_13, 3, RATTLE, 13
6_15, 6, RATTLE, 133
15_16, 15, RATTLE, 101
11_3, 11, RATTLE, 29
12_12,12,isONform,54
3_18,3,isONform,8
13_19, 13, RATTLE, 142
2_18, 2, RATTLE, 2
12_7, 12, RATTLE, 197
14_6,14,isONform,20
9_11,9,isONform,27
2_8,2,isONform,2
8_20,8,isONform,6
10_10, 10, RATTLE, 58
10_12, 10, RATTLE, 101
2_18,2,isONform,11
5_5,5,isONform,26
8_2, 8, RATTLE, 12
6_19, 6, RATTLE, 42
10_10,10,isONform,6
9_5, 9, RATTLE, 114
12_14, 12, RATTLE, 18
14_18, 14, RATTLE, 30
9_16, 9, RATTLE, 34
10_16,10,isONform,8
7_9, 7, RATTLE, 149
3_20, 3, RATTLE, 70
4_12,4,isONform,9
11_2, 11, RATTLE, 53
5_18,5,isONform,4
6_2,6,isONform,12
7_7,7,isONform,15
14_9, 14, RATTLE, 71
13_17, 13, RATTLE, 25
3_17, 3, RATTLE, 1
15_20,15,isONform,14
11_18,11,isONform,29
5_14,5,isONform,22
5_3,5,isONform,7
3_12, 3, RATTLE, 3
14_16,14,isONform,9
12_8, 12, RATTLE, 132
15_13, 15, RATTLE, 109
2_17, 2, RATTLE, 3
13_11,13,isONform,55
5_8,5,isONform,16
9_8,9,isONform,30
15_5, 15, RATTLE, 106
11_5,11,isONform,10
13_18,13,isONform,15
5_11,5,isONform,37
14_18,14,isONform,20
15_6, 15, RATTLE, 194
12_8,12,isONform,12
11_9, 11, RATTLE, 20
15_7,15,isONform,48
10_14,10,isONform,9
10_3,10,isONform,9
12_10,12,isONform,34
11_17, 11, RATTLE, 41
7_2, 7, RATTLE, 86
4_9,4,isONform,6
9_20, 9, RATTLE, 9
10_15,10,isONform,20
4_5,4,isONform,7
11_7, 11, RATTLE, 164
4_5, 4, RATTLE, 3
3_13,3,isONform,8
6_16, 6, RATTLE, 140
9_15, 9, RATTLE, 74
9_14, 9, RATTLE, 115
3_4, 3, RATTLE, 4
4_8, 4, RATTLE, 48
6_17, 6, RATTLE, 9
8_6, 8, RATTLE, 102
10_16, 10, RATTLE, 10
7_14,7,isONform,41
4_6,4,isONform,7
10_18,10,isONform,12
11_11,11,isONform,8
14_11,14,isONform,7
15_4, 15, RATTLE, 131
6_11, 6, RATTLE, 59
7_10, 7, RATTLE, 19
4_8,4,isONform,10
7_3, 7, RATTLE, 61
2_16,2,isONform,2
4_7, 4, RATTLE, 4
8_17,8,isONform,6
9_14,9,isONform,8
13_8,13,isONform,20
7_12,7,isONform,1
12_17,12,isONform,24
9_12, 9, RATTLE, 11
11_15, 11, RATTLE, 342
9_3, 9, RATTLE, 19
11_19,11,isONform,13
8_7, 8, RATTLE, 21
5_10,5,isONform,7
11_20, 11, RATTLE, 76
9_19, 9, RATTLE, 78
10_6, 10, RATTLE, 49
13_19,13,isONform,9
15_19,15,isONform,22
6_10, 6, RATTLE, 13
9_9, 9, RATTLE, 19
3_8, 3, RATTLE, 7
12_13, 12, RATTLE, 178
3_15, 3, RATTLE, 5
5_19,5,isONform,3
8_18, 8, RATTLE, 20
14_5,14,isONform,12
13_20,13,isONform,38
14_12, 14, RATTLE, 24
14_1,14,isONform,8
12_5, 12, RATTLE, 188
13_5,13,isONform,17
10_7, 10, RATTLE, 71
13_9,13,isONform,13
2_6, 2, RATTLE, 2
7_20, 7, RATTLE, 16
9_12,9,isONform,31
12_3, 12, RATTLE, 12
8_16,8,isONform,7
10_19, 10, RATTLE, 222
12_19, 12, RATTLE, 116
15_14, 15, RATTLE, 128
3_16, 3, RATTLE, 1
2_2, 2, RATTLE, 25
15_13,15,isONform,13
2_1, 2, RATTLE, 2
3_16,3,isONform,4
