id,nr_isos,tool,recall
2_2,2,isONform,1.0
6_8,6,isONform,1.0
14_7,14,isONform,1.0
11_8, 11, RATTLE, 0.45454545454545453
5_4,5,isONform,1.0
14_14,14,isONform,1.0
8_5,8,isONform,1.0
5_2, 5, RATTLE, 0.6
14_13, 14, RATTLE, 0.7857142857142857
2_12,2,isONform,1.0
13_10, 13, RATTLE, 0.46153846153846156
9_15,9,isONform,1.0
6_1,6,isONform,1.0
13_9, 13, RATTLE, 0.7692307692307693
8_11,8,isONform,1.0
4_11,4,isONform,1.0
8_5, 8, RATTLE, 0.75
9_16,9,isONform,1.0
9_8, 9, RATTLE, 0.6666666666666666
3_1, 3, RATTLE, 1.0
10_20, 10, RATTLE, 0.8
5_7,5,isONform,1.0
3_11,3,isONform,1.0
14_12,14,isONform,1.0
2_7,2,isONform,1.0
15_16,15,isONform,1.0
14_2, 14, RATTLE, 0.35714285714285715
6_7,6,isONform,1.0
7_4,7,isONform,1.0
14_15, 14, RATTLE, 0.42857142857142855
5_19, 5, RATTLE, 1.0
4_1,4,isONform,1.0
3_2,3,isONform,1.0
13_18, 13, RATTLE, 0.6153846153846154
6_4,6,isONform,1.0
3_10, 3, RATTLE, 0.6666666666666666
7_13,7,isONform,1.0
2_13,2,isONform,1.0
12_15, 12, RATTLE, 0.6666666666666666
8_20, 8, RATTLE, 0.625
10_4, 10, RATTLE, 0.8
14_19,14,isONform,1.0
12_9, 12, RATTLE, 0.5833333333333334
8_1,8,isONform,1.0
8_14, 8, RATTLE, 0.625
9_19,9,isONform,1.0
8_13, 8, RATTLE, 0.625
5_9,5,isONform,1.0
6_19,6,isONform,1.0
7_16, 7, RATTLE, 1.0
13_5, 13, RATTLE, 0.7692307692307693
15_18, 15, RATTLE, 0.6
11_17,11,isONform,1.0
11_1, 11, RATTLE, 0.5454545454545454
2_14, 2, RATTLE, 1.0
13_13, 13, RATTLE, 0.6923076923076923
13_1,13,isONform,1.0
7_6,7,isONform,1.0
15_3, 15, RATTLE, 0.7333333333333333
10_17,10,isONform,1.0
11_14,11,isONform,1.0
3_18, 3, RATTLE, 0.6666666666666666
2_5,2,isONform,1.0
9_3,9,isONform,1.0
15_18,15,isONform,1.0
7_6, 7, RATTLE, 0.7142857142857143
15_10, 15, RATTLE, 0.7333333333333333
14_20, 14, RATTLE, 0.42857142857142855
12_4,12,isONform,1.0
10_20,10,isONform,1.0
13_3,13,isONform,1.0
11_20,11,isONform,1.0
10_1,10,isONform,1.0
8_18,8,isONform,1.0
9_18, 9, RATTLE, 0.6666666666666666
15_15,15,isONform,1.0
11_4,11,isONform,1.0
6_9, 6, RATTLE, 0.8333333333333334
8_3, 8, RATTLE, 0.75
11_16, 11, RATTLE, 0.6363636363636364
2_4, 2, RATTLE, 1.0
13_12, 13, RATTLE, 0.38461538461538464
3_17,3,isONform,1.0
6_2, 6, RATTLE, 0.8333333333333334
4_6, 4, RATTLE, 1.0
13_15, 13, RATTLE, 0.5384615384615384
7_1,7,isONform,1.0
12_3,12,isONform,1.0
10_3, 10, RATTLE, 0.8
5_5, 5, RATTLE, 1.0
4_4,4,isONform,1.0
4_20, 4, RATTLE, 1.0
7_8,7,isONform,1.0
14_3, 14, RATTLE, 0.21428571428571427
8_9, 8, RATTLE, 0.5
3_3, 3, RATTLE, 1.0
8_10,8,isONform,0.875
7_12, 7, RATTLE, 1.0
8_2,8,isONform,1.0
10_8, 10, RATTLE, 0.5
12_11,12,isONform,1.0
2_9, 2, RATTLE, 0.5
12_6,12,isONform,1.0
13_2, 13, RATTLE, 0.6153846153846154
7_13, 7, RATTLE, 0.8571428571428571
7_17,7,isONform,1.0
10_8,10,isONform,1.0
5_10, 5, RATTLE, 1.0
7_15,7,isONform,1.0
5_6,5,isONform,1.0
4_2, 4, RATTLE, 1.0
4_16,4,isONform,1.0
8_19, 8, RATTLE, 0.5
3_9,3,isONform,1.0
11_19, 11, RATTLE, 0.5454545454545454
14_10, 14, RATTLE, 0.5
8_7,8,isONform,1.0
2_20,2,isONform,1.0
2_10, 2, RATTLE, 1.0
4_14,4,isONform,1.0
5_13,5,isONform,1.0
9_10,9,isONform,1.0
6_14,6,isONform,0.8333333333333334
10_14, 10, RATTLE, 0.6
5_1, 5, RATTLE, 0.8
8_8, 8, RATTLE, 0.875
6_5,6,isONform,1.0
10_9, 10, RATTLE, 0.4
7_20,7,isONform,1.0
6_10,6,isONform,1.0
2_19, 2, RATTLE, 1.0
5_17,5,isONform,1.0
10_19,10,isONform,1.0
12_2,12,isONform,1.0
6_5, 6, RATTLE, 0.8333333333333334
12_16,12,isONform,1.0
8_17, 8, RATTLE, 0.875
13_8, 13, RATTLE, 0.9230769230769231
6_4, 6, RATTLE, 1.0
13_2,13,isONform,1.0
14_7, 14, RATTLE, 0.42857142857142855
6_3,6,isONform,1.0
3_2, 3, RATTLE, 1.0
6_20,6,isONform,1.0
11_8,11,isONform,1.0
7_5,7,isONform,1.0
15_10,15,isONform,1.0
7_19, 7, RATTLE, 0.7142857142857143
3_8,3,isONform,1.0
4_16, 4, RATTLE, 1.0
5_8, 5, RATTLE, 0.8
10_1, 10, RATTLE, 0.9
5_18, 5, RATTLE, 0.6
11_2,11,isONform,1.0
6_13,6,isONform,1.0
14_5, 14, RATTLE, 0.5
14_13,14,isONform,1.0
2_20, 2, RATTLE, 0.5
11_10,11,isONform,1.0
13_10,13,isONform,0.9230769230769231
14_3,14,isONform,1.0
8_8,8,isONform,1.0
2_19,2,isONform,1.0
12_13,12,isONform,1.0
9_10, 9, RATTLE, 0.6666666666666666
13_3, 13, RATTLE, 0.5384615384615384
6_16,6,isONform,0.8333333333333334
13_7,13,isONform,1.0
9_2,9,isONform,1.0
11_11, 11, RATTLE, 0.8181818181818182
5_12, 5, RATTLE, 0.6
12_4, 12, RATTLE, 0.4166666666666667
9_13,9,isONform,1.0
15_9,15,isONform,1.0
2_12, 2, RATTLE, 1.0
10_5, 10, RATTLE, 0.7
12_14,12,isONform,1.0
13_16, 13, RATTLE, 0.9230769230769231
12_9,12,isONform,1.0
15_17,15,isONform,1.0
15_11, 15, RATTLE, 0.7333333333333333
5_6, 5, RATTLE, 0.8
4_7,4,isONform,1.0
6_3, 6, RATTLE, 0.8333333333333334
7_10,7,isONform,1.0
2_4,2,isONform,1.0
9_17, 9, RATTLE, 0.7777777777777778
4_3,4,isONform,1.0
8_1, 8, RATTLE, 0.75
4_17, 4, RATTLE, 0.75
7_11, 7, RATTLE, 0.7142857142857143
12_12, 12, RATTLE, 0.6666666666666666
4_20,4,isONform,1.0
11_5, 11, RATTLE, 0.5454545454545454
10_2, 10, RATTLE, 0.7
15_17, 15, RATTLE, 0.4666666666666667
9_7, 9, RATTLE, 0.6666666666666666
2_10,2,isONform,1.0
8_10, 8, RATTLE, 0.875
10_17, 10, RATTLE, 0.7
9_11, 9, RATTLE, 0.7777777777777778
12_18, 12, RATTLE, 0.5833333333333334
11_4, 11, RATTLE, 0.45454545454545453
4_3, 4, RATTLE, 0.75
10_12,10,isONform,1.0
8_11, 8, RATTLE, 0.625
15_3,15,isONform,1.0
12_5,12,isONform,1.0
2_3, 2, RATTLE, 1.0
6_12, 6, RATTLE, 0.8333333333333334
7_9,7,isONform,1.0
12_6, 12, RATTLE, 0.9166666666666666
7_17, 7, RATTLE, 0.7142857142857143
6_18,6,isONform,1.0
3_6, 3, RATTLE, 1.0
3_12,3,isONform,1.0
14_14, 14, RATTLE, 0.7857142857142857
13_15,13,isONform,1.0
11_12,11,isONform,1.0
8_4,8,isONform,1.0
13_20, 13, RATTLE, 0.5384615384615384
2_16, 2, RATTLE, 0.5
11_6, 11, RATTLE, 0.7272727272727273
8_9,8,isONform,1.0
5_17, 5, RATTLE, 1.0
13_4,13,isONform,1.0
14_17,14,isONform,1.0
12_20,12,isONform,1.0
2_17,2,isONform,1.0
14_9,14,isONform,1.0
9_6,9,isONform,1.0
4_4, 4, RATTLE, 1.0
5_13, 5, RATTLE, 0.8
2_11,2,isONform,1.0
4_12, 4, RATTLE, 0.75
10_6,10,isONform,1.0
3_20,3,isONform,1.0
5_9, 5, RATTLE, 0.8
9_2, 9, RATTLE, 0.6666666666666666
9_4, 9, RATTLE, 0.5555555555555556
10_18, 10, RATTLE, 1.0
13_1, 13, RATTLE, 0.7692307692307693
13_12,13,isONform,1.0
4_13, 4, RATTLE, 0.75
14_17, 14, RATTLE, 0.5
13_14,13,isONform,1.0
5_15, 5, RATTLE, 0.6
4_9, 4, RATTLE, 0.75
7_16,7,isONform,1.0
5_4, 5, RATTLE, 1.0
9_18,9,isONform,1.0
12_1, 12, RATTLE, 0.6666666666666666
10_4,10,isONform,1.0
5_20,5,isONform,1.0
8_12, 8, RATTLE, 0.5
7_14, 7, RATTLE, 1.0
4_10, 4, RATTLE, 0.75
11_15,11,isONform,1.0
7_2,7,isONform,1.0
15_12,15,isONform,1.0
15_1, 15, RATTLE, 0.5333333333333333
11_12, 11, RATTLE, 0.5454545454545454
11_1,11,isONform,1.0
5_1,5,isONform,1.0
3_7, 3, RATTLE, 0.6666666666666666
5_11, 5, RATTLE, 0.6
11_7,11,isONform,1.0
11_14, 11, RATTLE, 0.2727272727272727
13_11, 13, RATTLE, 0.9230769230769231
9_5,9,isONform,1.0
10_5,10,isONform,1.0
14_19, 14, RATTLE, 0.5714285714285714
12_1,12,isONform,1.0
7_1, 7, RATTLE, 0.7142857142857143
3_6,3,isONform,1.0
11_16,11,isONform,1.0
14_1, 14, RATTLE, 0.5
8_19,8,isONform,1.0
4_15,4,isONform,1.0
11_6,11,isONform,1.0
2_5, 2, RATTLE, 1.0
15_1,15,isONform,1.0
10_13, 10, RATTLE, 0.7
8_15, 8, RATTLE, 1.0
13_6, 13, RATTLE, 0.8461538461538461
8_3,8,isONform,1.0
7_15, 7, RATTLE, 0.5714285714285714
3_13, 3, RATTLE, 1.0
6_15, 6, RATTLE, 0.8333333333333334
15_16, 15, RATTLE, 0.4666666666666667
11_3, 11, RATTLE, 0.2727272727272727
12_12,12,isONform,1.0
3_18,3,isONform,1.0
13_19, 13, RATTLE, 0.6153846153846154
2_18, 2, RATTLE, 1.0
12_7, 12, RATTLE, 0.3333333333333333
14_6,14,isONform,1.0
9_11,9,isONform,1.0
2_8,2,isONform,1.0
8_20,8,isONform,1.0
10_10, 10, RATTLE, 0.8
10_12, 10, RATTLE, 0.7
2_18,2,isONform,1.0
5_5,5,isONform,1.0
8_2, 8, RATTLE, 1.0
6_19, 6, RATTLE, 0.8333333333333334
10_10,10,isONform,1.0
9_5, 9, RATTLE, 0.7777777777777778
12_14, 12, RATTLE, 0.75
14_18, 14, RATTLE, 0.7142857142857143
9_16, 9, RATTLE, 0.6666666666666666
10_16,10,isONform,1.0
7_9, 7, RATTLE, 0.7142857142857143
3_20, 3, RATTLE, 0.6666666666666666
4_12,4,isONform,1.0
11_2, 11, RATTLE, 0.7272727272727273
5_18,5,isONform,1.0
6_2,6,isONform,1.0
7_7,7,isONform,1.0
14_9, 14, RATTLE, 0.6428571428571429
13_17, 13, RATTLE, 0.7692307692307693
3_17, 3, RATTLE, 1.0
15_20,15,isONform,1.0
11_18,11,isONform,1.0
5_14,5,isONform,1.0
5_3,5,isONform,1.0
3_12, 3, RATTLE, 0.6666666666666666
14_16,14,isONform,1.0
12_8, 12, RATTLE, 0.5
15_13, 15, RATTLE, 0.4
2_17, 2, RATTLE, 1.0
13_11,13,isONform,1.0
5_8,5,isONform,1.0
9_8,9,isONform,1.0
15_5, 15, RATTLE, 0.6
11_5,11,isONform,1.0
13_18,13,isONform,0.9230769230769231
5_11,5,isONform,1.0
14_18,14,isONform,1.0
15_6, 15, RATTLE, 0.3333333333333333
12_8,12,isONform,1.0
11_9, 11, RATTLE, 0.8181818181818182
15_7,15,isONform,0.9333333333333333
10_14,10,isONform,1.0
10_3,10,isONform,1.0
12_10,12,isONform,1.0
11_17, 11, RATTLE, 0.36363636363636365
7_2, 7, RATTLE, 0.7142857142857143
4_9,4,isONform,1.0
9_20, 9, RATTLE, 0.7777777777777778
10_15,10,isONform,1.0
4_5,4,isONform,1.0
11_7, 11, RATTLE, 0.45454545454545453
4_5, 4, RATTLE, 1.0
3_13,3,isONform,1.0
6_16, 6, RATTLE, 0.6666666666666666
9_15, 9, RATTLE, 0.8888888888888888
9_14, 9, RATTLE, 0.6666666666666666
3_4, 3, RATTLE, 1.0
4_8, 4, RATTLE, 0.75
6_17, 6, RATTLE, 0.5
8_6, 8, RATTLE, 0.625
10_16, 10, RATTLE, 0.9
7_14,7,isONform,1.0
4_6,4,isONform,1.0
10_18,10,isONform,1.0
11_11,11,isONform,1.0
14_11,14,isONform,1.0
15_4, 15, RATTLE, 0.8
6_11, 6, RATTLE, 0.5
7_10, 7, RATTLE, 0.8571428571428571
4_8,4,isONform,1.0
7_3, 7, RATTLE, 0.7142857142857143
2_16,2,isONform,1.0
4_7, 4, RATTLE, 1.0
8_17,8,isONform,1.0
9_14,9,isONform,1.0
13_8,13,isONform,1.0
7_12,7,isONform,1.0
12_17,12,isONform,1.0
9_12, 9, RATTLE, 0.7777777777777778
11_15, 11, RATTLE, 0.5454545454545454
9_3, 9, RATTLE, 0.4444444444444444
11_19,11,isONform,1.0
8_7, 8, RATTLE, 0.625
5_10,5,isONform,1.0
11_20, 11, RATTLE, 0.7272727272727273
9_19, 9, RATTLE, 0.5555555555555556
10_6, 10, RATTLE, 0.6
13_19,13,isONform,1.0
15_19,15,isONform,1.0
6_10, 6, RATTLE, 1.0
9_9, 9, RATTLE, 1.0
3_8, 3, RATTLE, 0.6666666666666666
12_13, 12, RATTLE, 0.75
3_15, 3, RATTLE, 1.0
5_19,5,isONform,1.0
8_18, 8, RATTLE, 0.75
14_5,14,isONform,1.0
13_20,13,isONform,1.0
14_12, 14, RATTLE, 0.7857142857142857
14_1,14,isONform,1.0
12_5, 12, RATTLE, 0.5
13_5,13,isONform,1.0
10_7, 10, RATTLE, 0.9
13_9,13,isONform,1.0
2_6, 2, RATTLE, 1.0
7_20, 7, RATTLE, 0.8571428571428571
9_12,9,isONform,1.0
12_3, 12, RATTLE, 1.0
8_16,8,isONform,1.0
10_19, 10, RATTLE, 0.7
12_19, 12, RATTLE, 0.5833333333333334
15_14, 15, RATTLE, 0.5333333333333333
3_16, 3, RATTLE, 1.0
2_2, 2, RATTLE, 0.5
15_13,15,isONform,1.0
2_1, 2, RATTLE, 1.0
3_16,3,isONform,1.0
